Ciclo,V_pu,P_kw,Q_kvar
406,0.9938262092435562,300.0,50.0
407,0.9938262092435562,300.0,50.0
408,0.9938262092435562,300.0,50.0
409,0.9938262092435562,300.0,50.0
410,0.9938262092435562,300.0,50.0
411,0.9938262092435562,300.0,50.0
412,0.9938262092435562,300.0,50.0
413,0.9938262092435562,300.0,50.0
414,0.9938262092435562,300.0,50.0
415,0.9938262092435562,300.0,50.0
416,0.9938262092435562,300.0,50.0
417,0.9938262092435562,300.0,50.0
418,0.9938262092435562,300.0,50.0
419,0.9938262092435562,300.0,50.0
420,0.9938262092435562,300.0,50.0
421,0.9938262092435562,300.0,50.0
422,0.9938262092435562,300.0,50.0
423,0.9938262092435562,300.0,50.0
424,0.9938262092435562,300.0,50.0
425,0.9938262092435562,300.0,50.0
426,0.9938262092435562,300.0,50.0
427,0.9938262092435562,300.0,50.0
428,0.9938262092435562,300.0,50.0
429,0.9938262092435562,300.0,50.0
430,0.9938262092435562,300.0,50.0
431,0.9938262092435562,300.0,50.0
432,0.9938262092435562,300.0,50.0
433,0.9938262092435562,300.0,50.0
434,0.9938262092435562,300.0,50.0
435,0.9938262092435562,300.0,50.0
436,0.9938262092435562,300.0,50.0
437,0.9938262092435562,300.0,50.0
438,0.9938262092435562,300.0,50.0
439,0.9938262092435562,300.0,50.0
440,0.9938262092435562,300.0,50.0
441,0.9938262092435562,300.0,50.0
442,0.9938262092435562,300.0,50.0
443,0.9938262092435562,300.0,50.0
444,0.9938262092435562,300.0,50.0
445,0.9938262092435562,300.0,50.0
446,0.9938262092435562,300.0,50.0
447,0.9938262092435562,300.0,50.0
448,0.9938262092435562,300.0,50.0
449,0.9938262092435562,300.0,50.0
450,0.9938262092435562,300.0,50.0
451,0.9938262092435562,300.0,50.0
452,0.9938262092435562,300.0,50.0
453,0.9938262092435562,300.0,50.0
454,0.9938262092435562,300.0,50.0
455,0.9938262092435562,300.0,50.0
