Ciclo,V_pu,P_kw,Q_kvar,Disjuntor
76,0.9938262092435562,300.0,50.0,0
77,0.9938262092435562,300.0,50.0,0
78,0.9938262092435562,300.0,50.0,0
79,0.9938262092435562,300.0,50.0,0
80,0.9938262092435562,300.0,50.0,0
81,0.9938262092435562,300.0,50.0,0
82,0.9938262092435562,300.0,50.0,0
83,0.9938262092435562,300.0,50.0,0
84,0.9938262092435562,300.0,50.0,0
85,0.9938262092435562,300.0,50.0,0
86,0.9938262092435562,300.0,50.0,0
87,0.9938262092435562,300.0,50.0,0
88,0.9938262092435562,300.0,50.0,0
89,0.9938262092435562,300.0,50.0,0
90,0.9938262092435562,300.0,50.0,0
91,0.9938262092435562,300.0,50.0,0
92,0.9938262092435562,300.0,50.0,0
93,0.9938262092435562,300.0,50.0,0
94,0.9938262092435562,300.0,50.0,0
95,0.9938262092435562,300.0,50.0,0
96,0.9938262092435562,300.0,50.0,0
97,0.9938262092435562,300.0,50.0,0
98,0.9938262092435562,300.0,50.0,0
99,0.9938262092435562,300.0,50.0,0
100,0.9938262092435562,300.0,50.0,0
101,0.9938262092435562,300.0,50.0,0
102,0.9938262092435562,300.0,50.0,0
103,0.9938262092435562,300.0,50.0,0
104,0.9938262092435562,300.0,50.0,0
105,0.9938262092435562,300.0,50.0,0
106,0.9938262092435562,300.0,50.0,0
107,0.9938262092435562,300.0,50.0,0
108,0.9938262092435562,300.0,50.0,0
109,0.9938262092435562,300.0,50.0,0
110,0.9938262092435562,300.0,50.0,0
111,0.9938262092435562,300.0,50.0,0
112,0.9938262092435562,300.0,50.0,0
113,0.9938262092435562,300.0,50.0,0
114,0.9938262092435562,300.0,50.0,0
115,0.9938262092435562,300.0,50.0,0
116,0.9938262092435562,300.0,50.0,0
117,0.9938262092435562,300.0,50.0,0
118,0.9938262092435562,300.0,50.0,0
119,0.9938262092435562,300.0,50.0,0
120,0.9938262092435562,300.0,50.0,0
121,0.9938262092435562,300.0,50.0,0
122,0.9938262092435562,300.0,50.0,0
123,0.9938262092435562,300.0,50.0,0
124,0.9938262092435562,300.0,50.0,0
125,0.9938262092435562,300.0,50.0,0
